delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,400,unexp,2,1,25,0,203.65426909993403,,203.6349711001385,203.65426909993403,204.63498490001075,204.63498490001075,204.67969570006244,205.0927991999779,space,0.45326430001296103,None,205.0937155999709,205.1997868666115,205.53347739996389,205.51271550008096,205.5127441000659,205.53347739996389,205.53347739996389,205.53347739996389,207.53633620007895,300,1,[2.022061600117013],[2.0220683999359608],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,400,unexp,2,2,26,1,207.5494810999371,,207.53699810011312,207.5494810999371,208.54952870006673,208.54952870006673,208.54952870006673,208.6507985999342,space,0.09812660003080964,None,208.65121360006742,209.05094466667313,209.36638980009593,209.35104310000315,209.35107770003378,209.36638980009593,209.36638980009593,209.36638980009593,212.85131810000166,100,1,[3.4984836000949144],[3.4984957999549806],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,2,3,27,5,212.8669086000882,,212.85247569996864,212.8669086000882,213.86657240008935,213.86657240008935,213.86657240008935,214.3673094001133,space,0.4842306999489665,None,214.3676682000514,215.08320256678078,215.39890730008483,215.38083019992337,215.38088389998302,215.39890730008483,215.39890730008483,215.39890730008483,217.36743109999225,400,1,[1.9845123998820782],[1.9845193999353796],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,2,4,28,9,217.38308249996044,,217.3681475999765,217.38308249996044,218.38327499991283,218.38327499991283,218.38327499991283,218.96857449994422,space,0.5825678000692278,None,218.96900629997253,219.083585466786,219.39915930014104,219.38317980011925,219.38324599992484,219.39915930014104,219.39915930014104,219.39915930014104,221.41773220011964,100,1,[2.0326324000488967],[2.032641700003296],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,2,5,29,4,221.43302000011317,,221.4185581000056,221.43302000011317,222.41700619994663,222.41700619994663,222.43393569998443,222.78500439994968,space,0.3504003998823464,None,222.78561539994553,223.20022006665047,223.53254249994643,223.50108910002746,223.50111930002458,223.53254249994643,223.53254249994643,223.53254249994643,225.5846762000583,200,1,[2.08200449985452],[2.082014000043273],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,2,6,30,7,225.5998265000526,,225.58570679998957,225.5998265000526,226.6015558000654,226.6015558000654,226.6015558000654,227.18461070000194,space,0.5747813999187201,None,227.18515809997916,227.59987006668624,227.91586440009996,227.90077159996144,227.9007930001244,227.91586440009996,227.91586440009996,227.91586440009996,230.1676803000737,300,1,[2.26556699979119],[2.2655743998475373],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,2,7,31,11,230.24897590000182,,230.16834220010787,230.24897590000182,231.18347169994377,231.18347169994377,231.24998879991472,231.73454640014097,space,0.5351487998850644,None,231.73531270003878,232.450576766689,232.76578949997202,232.74066510004923,232.7407005999703,232.76578949997202,232.76578949997202,232.76578949997202,234.8846960000228,400,1,[2.1425413000397384],[2.1425514998845756],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,2,8,32,8,234.8996916001197,,234.88581399992108,234.8996916001197,235.9000363999512,235.9000363999512,235.9000363999512,236.53507969994098,space,0.6227027999702841,None,236.53570750006475,237.249752866632,237.56578760012053,237.55073300004005,237.55076629994437,237.56578760012053,237.56578760012053,237.56578760012053,239.58567699999548,400,1,[2.033354999963194],[2.033363299909979],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,2,9,33,10,239.59997089998797,,239.58684880007058,239.59997089998797,240.59974760003388,240.59974760003388,240.59974760003388,241.1175742999185,space,0.5074996999464929,None,241.1179526001215,241.53307136666652,241.8672686999198,241.8446887000464,241.8447267001029,241.8672686999198,241.8672686999198,241.8672686999198,243.86781869991682,300,1,[2.0217116998974234],[2.0217211998533458],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,2,10,34,3,243.8832066000905,,243.86890100012533,243.8832066000905,244.88315970008262,244.88315970008262,244.88315970008262,245.6188400001265,space,0.727002700092271,None,245.61938680009916,245.73320536670897,,246.0167404001113,246.01676800008863,246.03255210001953,246.03255210001953,246.03255210001953,249.23512440011837,100,1,[3.2168372001033276],[3.216848500072956],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,400,unexp,2,11,35,2,249.25090230000205,,249.23611430008896,249.25090230000205,250.25089409993961,250.25089409993961,250.25089409993961,250.98420049995184,space,0.7201796998269856,None,250.98453090013936,251.68445976666797,252.0002743001096,251.98326710006222,251.98329339991324,252.0002743001096,252.0002743001096,252.0002743001096,254.05262729991227,300,1,[2.0679251002147794],[2.0679355000611395],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,3,0,36,4,254.06647290010005,,254.0533485999331,254.06647290010005,255.0667332999874,255.0667332999874,255.0667332999874,255.78483740007505,space,0.7115745001938194,None,255.78540319995955,256.19979286665716,256.5155831000302,256.5012113000266,256.5012421000283,256.5155831000302,256.5155831000302,256.5155831000302,259.1514475001022,200,1,[2.648581499932334],[2.648592700017616],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,3,1,37,10,259.1669530000072,,259.1521402001381,259.1669530000072,260.1667563000228,260.1667563000228,260.1667563000228,260.76804160000756,space,0.5978395000565797,None,260.76864730007946,261.1837302665847,261.49910979997367,261.48059800011106,261.48063419992104,261.49910979997367,261.49910979997367,261.49910979997367,263.5513693001121,100,1,[2.068647100124508],[2.0686570000834763],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
